Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
579,Silver,01-Jan-17,07-Jan-17,123002578,2.20101E+11,2,92.6,20.7
7574,SILVER,01-Jan-17,05-Jan-17,123004074,2.10201E+11,1,21.7,9.95
28861,Gold,01-Jan-17,04-Jan-17,123000871,2.30101E+11,1,1.7,0.8
43796,Gold,01-Jan-17,06-Jan-17,123002851,2.201E+11,1,47.9,24.05
54673,Gold,01-Jan-17,04-Jan-17,123003607,2.202E+11,1,36.9,18.3
74503,Silver,01-Jan-17,04-Jan-17,123000487,2.402E+11,1,24.7,11.8
1870,Silver,02-Jan-17,02-Jan-17,123006324,2.401E+11,1,65.5,25.6
2351,Silver,02-Jan-17,02-Jan-17,123005769,2.406E+11,2,44,9.1
3073,Silver,02-Jan-17,02-Jan-17,123008467,2.402E+11,1,108.7,56.3
5907,Gold,02-Jan-17,06-Jan-17,123008924,2.202E+11,1,53,26.6
7309,SILVER,02-Jan-17,07-Jan-17,123006398,2.202E+11,1,64,37.85
9216,Silver,02-Jan-17,02-Jan-17,123009762,2.201E+11,1,114.2,57.2
9542,Silver,02-Jan-17,06-Jan-17,123009779,2.202E+11,2,266.4,66.7
12409,Gold,02-Jan-17,02-Jan-17,123005849,2.402E+11,2,29.6,7.5
12601,Silver,02-Jan-17,07-Jan-17,123009881,2.408E+11,2,647.2,133.55
14679,Silver,02-Jan-17,07-Jan-17,123009905,2.405E+11,1,69.8,22.4
16958,GOLD,02-Jan-17,02-Jan-17,123009956,2.202E+11,3,339,51.45
17705,Silver,02-Jan-17,02-Jan-17,123008541,2.301E+11,1,12.7,5.75
18363,Silver,02-Jan-17,03-Jan-17,123009987,2.408E+11,2,423.2,94.25
18432,Silver,02-Jan-17,04-Jan-17,123009996,2.406E+11,1,22.8,9.75
18802,Gold,02-Jan-17,02-Jan-17,123006561,2.405E+11,1,39.2,17.85
19121,Silver,02-Jan-17,02-Jan-17,123006600,2.408E+11,2,95.8,20.9
19669,GOLD,02-Jan-17,02-Jan-17,123008945,2.30101E+11,1,96.9,40
20504,Gold,02-Jan-17,04-Jan-17,123010084,2.202E+11,2,169.8,38.7
21446,Gold,02-Jan-17,06-Jan-17,123008948,2.403E+11,2,94.6,20.2
23400,Silver,02-Jan-17,02-Jan-17,123008591,2.10201E+11,1,36.6,16.55
25625,Gold,02-Jan-17,02-Jan-17,123006672,2.405E+11,1,10.2,4.85
27779,Silver,02-Jan-17,02-Jan-17,123010227,2.301E+11,2,103,23.75
28821,Gold,02-Jan-17,07-Jan-17,123006707,2.403E+11,2,256,55.8
29095,Silver,02-Jan-17,02-Jan-17,123010254,2.408E+11,8,1202,60.1
29494,Silver,02-Jan-17,02-Jan-17,123009270,2.405E+11,1,93.2,37.3
30556,SILVER,02-Jan-17,02-Jan-17,123010296,2.20101E+11,1,57.9,29.05
30802,GOLD,02-Jan-17,02-Jan-17,123008037,2.401E+11,1,45,19.2
31447,Gold,02-Jan-17,06-Jan-17,123008053,2.102E+11,1,30.6,15.4
33957,Silver,02-Jan-17,06-Jan-17,123008997,2.202E+11,1,41.4,18
35331,Silver,02-Jan-17,06-Jan-17,123009271,2.301E+11,2,91,20.8
35484,Silver,02-Jan-17,04-Jan-17,123010388,2.408E+11,2,51.4,10.4
35675,Gold,02-Jan-17,02-Jan-17,123008662,2.20101E+11,1,24.3,10.9
35983,Gold,02-Jan-17,02-Jan-17,123010401,2.201E+11,1,40.5,20.35
38619,Silver,02-Jan-17,02-Jan-17,123008100,2.202E+11,1,88.2,38.4
39859,Gold,02-Jan-17,02-Jan-17,123010492,2.408E+11,2,78.8,16.35
40639,Gold,02-Jan-17,02-Jan-17,123006897,2.202E+11,1,99.6,45.35
40959,Silver,02-Jan-17,02-Jan-17,123009289,2.401E+11,1,35.5,17.9
43110,Silver,02-Jan-17,02-Jan-17,123007162,2.301E+11,2,213.8,45.5
43450,SILVER,02-Jan-17,02-Jan-17,123005983,2.201E+11,2,73.4,18.45
43894,Silver,02-Jan-17,02-Jan-17,123010577,2.20101E+11,1,196,86.45
43941,Silver,02-Jan-17,02-Jan-17,123010597,2.20101E+11,1,18.4,8.3
45734,Gold,02-Jan-17,02-Jan-17,123009293,2.20101E+11,1,47.4,20.55
49196,Gold,02-Jan-17,02-Jan-17,123006025,2.401E+11,2,3,0.7
50740,Gold,02-Jan-17,12-Jan-17,123010721,2.30101E+11,1,91.1,37.95
51269,Gold,02-Jan-17,07-Jan-17,123008749,2.201E+11,1,37.3,18.75
52897,Silver,02-Jan-17,02-Jan-17,123010782,2.201E+11,1,100.9,50.55
55397,Silver,02-Jan-17,02-Jan-17,123010869,2.20101E+11,1,24.8,12.35
57190,Gold,02-Jan-17,02-Jan-17,123006992,2.202E+11,1,33.4,16.8
58517,Silver,02-Jan-17,02-Jan-17,123010943,2.201E+11,1,55.6,23.7
58709,Silver,02-Jan-17,02-Jan-17,123010973,2.401E+11,1,217.5,161.2
59593,PLATINUM,02-Jan-17,02-Jan-17,123010979,2.408E+11,2,413.8,82.8
62216,SILVER,02-Jan-17,04-Jan-17,123007573,2.405E+11,1,101.1,48.1
62236,Gold,02-Jan-17,02-Jan-17,123007583,2.402E+11,1,24.3,13
63455,Silver,02-Jan-17,02-Jan-17,123011082,2.407E+11,1,16.9,8.6
65598,Silver,02-Jan-17,03-Jan-17,123011212,2.405E+11,1,28,13.4
70285,Silver,02-Jan-17,02-Jan-17,123007173,2.301E+11,2,268.8,57.05
71485,Gold,02-Jan-17,02-Jan-17,123006109,2.10201E+11,2,24,3.8
71955,Gold,02-Jan-17,02-Jan-17,123008192,2.401E+11,1,99.3,45.2
72062,Gold,02-Jan-17,03-Jan-17,123009072,2.202E+11,1,179,89.6
72333,Gold,02-Jan-17,02-Jan-17,123007641,2.102E+11,1,42.4,21.3
72617,Silver,02-Jan-17,02-Jan-17,123008196,2.408E+11,4,98.4,11.8
73736,GOLD,02-Jan-17,02-Jan-17,123008210,2.10201E+11,1,38.8,18.05
74605,GOLD,02-Jan-17,07-Jan-17,123008222,2.401E+11,1,15.3,6.05
74813,Gold,02-Jan-17,02-Jan-17,123006126,2.30101E+11,2,382,80.45
75510,Silver,02-Jan-17,02-Jan-17,123008247,2.10201E+11,1,11.4,5.15
75673,GOLD,02-Jan-17,02-Jan-17,123007660,2.20101E+11,1,55.1,27.65
76263,Silver,02-Jan-17,02-Jan-17,123009087,2.10201E+11,1,70,30.45
76405,Silver,02-Jan-17,02-Jan-17,123009094,2.408E+11,2,40,9.25
78982,Gold,02-Jan-17,02-Jan-17,123007759,2.202E+11,2,177.2,44.4
83947,Silver,02-Jan-17,02-Jan-17,123006193,2.401E+11,2,66.6,14.85
